pH,tm
2.2,-1
39,0
4.8,0
4.8,0
4.8,0
2.1,0
7.5,0
7,0
7,0
7,0
64.9,0.1
53.4,0.1
53.4,0.1
64.9,0.2
53.4,0.6
53.4,1.2
7.5,2.8
7.8,3.8
7.8,4
7.5,4
7.5,4
7.5,4
7.5,4
7.5,4
4.2,4
4.2,4
4.2,4
4.2,4
4.2,4
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
5.3,5
55.6,5.5
55.6,5.5
55.6,5.5
55.6,5.5
55.6,5.5
48.4,7
48.4,7
49,7
48.4,7
48.4,7
49,7
49,7
48.4,7
49,7
48.4,7
48.4,7
48.4,7
48.4,7
49,7
48.4,7
48.4,7
48.4,7
5.7,9.8
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
5.7,9.9
7.2,10
7.2,10
7.2,10
7.2,10
7.2,10
6,10
4,10
7,10
7,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
7.5,10
2.1,10
2,12
2,12
2,12
2,12
7.2,15
7,15
7,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7,15
7,15
7,15
7.8,15
7.8,15
7.8,15
7.8,15
7.1,15
6.5,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7,15
7,15
7,15
7.8,15
7.8,15
